# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1805.3000 M35 998232 6 770.3000 n45 n0 47 N n45->n1->n262->n261->n240->n259->n0
1807.0000 M38 698725 6 686.0000 n54 n0 48 N n54->n1->n262->n261->n240->n259->n0
1807.2000 M14 720934 6 1402.2000 n43 n0 36 N n43->n1->n262->n261->n240->n259->n0
1808.7000 M32 531670 5 863.7000 n24 n0 45 N n24->n1->n262->n261->n253->n0
1808.9000 M8 913877 5 1575.9000 n43 n0 33 N n43->n1->n262->n261->n253->n0
1811.9000 M33 729461 9 835.9000 n204 n0 46 N n204->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.0000 M26 546679 10 1055.0000 n205 n0 42 N n205->n190->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.2000 M47 734776 9 401.2000 n210 n0 53 N n210->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.3000 M53 883685 9 226.3000 n203 n0 56 N n203->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.5000 M40 572441 9 628.5000 n197 n0 49 N n197->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.7000 M55 928171 9 166.7000 n203 n0 57 N n203->n5->n263->n251->n258->n256->n261->n240->n259->n0
1812.9000 M37 737538 9 720.9000 n200 n0 47 N n200->n5->n263->n251->n258->n256->n261->n240->n259->n0
1814.8000 M52 891919 9 254.8000 n34 n0 55 N n34->n6->n1->n241->n258->n256->n261->n240->n259->n0
1815.0000 M17 790517 7 1317.0000 n32 n0 38 N n32->n6->n1->n262->n261->n240->n259->n0
1815.1000 M10 863541 8 1524.1000 n22 n0 34 N n22->n1->n241->n258->n256->n261->n240->n259->n0
1815.3000 M1 618834 7 1783.3000 n48 n0 30 N n48->n1->n246->n256->n261->n240->n259->n0
1815.4000 M44 568074 7 502.4000 n36 n0 51 N n36->n6->n1->n262->n261->n240->n259->n0
1843.5000 M23 555510 10 1174.5000 n186 n0 40 N n186->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1843.7000 M58 837610 12 104.7000 n115 n0 58 N n115->n3->n254->n257->n245->n252->n250->n241->n258->n246->n261->n259->n0
1843.8000 M59 562758 10 74.8000 n174 n0 58 N n174->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1843.9000 M11 562047 10 1523.9000 n182 n0 34 N n182->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.1000 M39 983915 10 690.1000 n126 n0 48 N n126->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.3000 M41 838158 10 628.3000 n168 n0 49 N n168->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.4000 M12 545086 10 1499.4000 n131 n0 35 N n131->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.6000 M56 782957 10 167.6000 n168 n0 57 N n168->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.7000 M27 707738 10 1059.7000 n144 n0 42 N n144->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1844.9000 M42 889225 10 595.9000 n146 n0 50 N n146->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.0000 M36 612761 10 785.0000 n120 n0 46 N n120->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.1000 M20 773543 11 1263.1000 n140 n0 38 N n140->n134->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.2000 M28 627290 10 1027.2000 n111 n0 42 N n111->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.4000 M22 854050 10 1205.4000 n144 n0 39 N n144->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.5000 M45 506581 11 500.5000 n133 n0 51 N n133->n120->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.7000 M3 968122 11 1761.7000 n133 n0 30 N n133->n120->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1845.8000 M16 875016 10 1381.8000 n183 n0 36 N n183->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1846.0000 M9 587686 9 1581.0000 n215 n0 33 N n215->n5->n238->n260->n239->n262->n261->n242->n266->n0
1846.1000 M2 977273 9 1788.1000 n47 n0 30 N n47->n6->n7->n1->n260->n239->n262->n253->n266->n0
1938.6000 M19 580040 6 1381.6000 n195 n0 36 N n195->n22->n1->n243->n246->n256->n0
2003.2000 M5 874671 8 1859.2000 n208 n0 29 N n208->n22->n1->n260->n249->n243->n246->n256->n0
2402.1000 M13 693107 11 2023.1000 n69 n0 26 N n69->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2402.2000 M57 601479 11 695.2000 n102 n0 48 N n102->n9->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2402.3000 M24 559729 11 1704.3000 n102 n0 31 N n102->n9->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2402.5000 M50 976458 10 904.5000 n83 n0 44 N n83->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2402.7000 M48 884863 11 965.7000 n63 n0 43 N n63->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2402.8000 M21 519301 11 1793.8000 n89 n0 30 N n89->n13->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.0000 M54 953264 10 786.0000 n93 n0 46 N n93->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.1000 M6 661032 10 2233.1000 n73 n0 22 N n73->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.2000 M18 640222 10 1880.2000 n74 n0 28 N n74->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.4000 M15 991397 11 1972.4000 n88 n0 27 N n88->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.6000 M29 639593 11 1551.6000 n104 n0 34 N n104->n61->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.8000 M30 678625 12 1522.8000 n86 n0 34 N n86->n67->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2403.9000 M43 596711 11 1122.9000 n106 n0 41 N n106->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.1000 M31 948641 10 1491.1000 n93 n0 35 N n93->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.2000 M46 636051 10 1026.2000 n61 n0 42 N n61->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.3000 M7 612010 11 2201.3000 n79 n0 23 N n79->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.5000 M34 844772 11 1397.5000 n72 n0 36 N n72->n61->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.6000 M49 955987 11 939.6000 n88 n0 44 N n88->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.7000 M4 523257 10 2292.7000 n85 n0 21 N n85->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2404.9000 M51 797770 11 876.9000 n84 n0 45 N n84->n11->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
2405.1000 M25 982211 10 1675.1000 n101 n0 32 N n101->n2->n248->n244->n261->n5->n1->n246->n265->n238->n0
