# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7214.6000 M222 581369 11 658.6000 n36 n0 49 N n36->n39->n8->n43->n33->n60->n40->n1->n238->n251->n266->n0
7214.7000 M187 717614 15 1671.7000 n53 n0 32 N n53->n26->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7214.9000 M188 976547 7 1641.9000 n25 n0 32 N n25->n60->n40->n1->n238->n251->n266->n0
7215.1000 M185 772495 10 1722.1000 n28 n0 31 N n28->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7215.3000 M234 940646 5 303.3000 n58 n0 54 N n58->n1->n238->n251->n266->n0
7215.5000 M154 795784 7 2667.5000 n58 n0 15 N n58->n54->n55->n1->n238->n251->n266->n0
7215.6000 M159 665139 7 2506.6000 n58 n0 18 N n58->n54->n55->n1->n238->n251->n266->n0
7215.8000 M215 712854 11 863.8000 n36 n0 45 N n36->n39->n8->n43->n33->n60->n40->n1->n238->n251->n266->n0
7216.0000 M201 637543 8 1271.0000 n32 n0 38 N n32->n37->n60->n40->n1->n238->n251->n266->n0
7216.2000 M163 526214 15 2393.2000 n53 n0 20 N n53->n233->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7216.4000 M233 755810 5 332.4000 n40 n0 54 N n40->n1->n238->n251->n266->n0
7216.6000 M130 536904 8 3374.6000 n32 n0 3 N n32->n51->n49->n55->n1->n238->n251->n266->n0
7216.7000 M196 649359 15 1407.7000 n51 n0 36 N n51->n30->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7216.9000 M223 917135 14 631.9000 n46 n0 49 N n46->n41->n6->n36->n39->n8->n43->n33->n60->n40->n1->n238->n251->n266->n0
7217.1000 M139 807091 10 3105.1000 n40 n0 8 N n40->n60->n30->n51->n49->n55->n1->n238->n251->n266->n0
7217.3000 M171 782141 11 2148.3000 n44 n0 24 N n44->n59->n37->n47->n36->n23->n57->n1->n238->n251->n266->n0
7217.5000 M220 742665 15 719.5000 n51 n0 48 N n51->n30->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7217.7000 M183 927190 16 1788.7000 n38 n0 30 N n38->n51->n30->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7217.8000 M170 502107 8 2174.8000 n206 n0 23 N n206->n46->n6->n57->n1->n238->n251->n266->n0
7217.9000 M140 592720 8 3074.9000 n28 n0 8 N n28->n51->n49->n55->n1->n238->n251->n266->n0
7218.1000 M142 725726 16 3013.1000 n22 n0 9 N n22->n48->n39->n44->n59->n37->n47->n31->n28->n51->n49->n55->n1->n238->n251->n266->n0
7218.3000 M141 527788 14 3044.3000 n26 n0 9 N n26->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7218.5000 M182 936202 14 1823.5000 n30 n0 29 N n30->n56->n34->n44->n22->n31->n43->n33->n60->n40->n1->n238->n251->n266->n0
7218.7000 M176 745444 21 2001.7000 n60 n0 26 N n60->n40->n35->n50->n33->n52->n7->n27->n41->n34->n48->n22->n8->n43->n24->n29->n57->n1->n238->n251->n266->n0
7218.9000 M156 788589 9 2604.9000 n25 n0 16 N n25->n47->n36->n23->n57->n1->n238->n251->n266->n0
7417.0000 M147 807429 21 3075.0000 n86 n0 8 N n86->n68->n94->n87->n11->n62->n77->n64->n82->n88->n67->n84->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.1000 M169 798916 13 2404.1000 n69 n0 19 N n69->n76->n105->n101->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.3000 M189 984866 20 1815.3000 n68 n0 29 N n68->n94->n87->n11->n62->n77->n64->n82->n88->n67->n84->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.5000 M178 988860 21 2139.5000 n86 n0 24 N n86->n68->n94->n87->n11->n62->n77->n64->n82->n88->n67->n84->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.6000 M179 815625 14 2108.6000 n107 n0 24 N n107->n69->n76->n105->n101->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.7000 M161 796114 13 2647.7000 n70 n0 15 N n70->n97->n9->n101->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7417.9000 M207 976697 22 1294.9000 n73 n0 38 N n73->n106->n62->n11->n87->n94->n102->n101->n66->n97->n63->n92->n107->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
7418.1000 M206 962621 20 1327.1000 n78 n0 37 N n78->n76->n83->n98->n9->n101->n66->n97->n63->n92->n107->n2->n255->n262->n265->n256->n258->n250->n266->n251->n0
