# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2414.3000 M34 844772 16 1407.3000 n72 n0 36 N n72->n61->n2->n258->n260->n242->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2414.5000 M71 990133 17 297.5000 n88 n0 55 N n88->n2->n248->n253->n242->n253->n242->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2414.6000 M13 693107 13 2035.6000 n69 n0 26 N n69->n9->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2414.7000 M65 590287 12 477.7000 n78 n0 52 N n78->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2414.8000 M72 566893 18 272.8000 n91 n0 55 N n91->n63->n2->n248->n253->n242->n253->n242->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.0000 M48 884863 12 978.0000 n63 n0 43 N n63->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.1000 M31 948641 12 1502.1000 n93 n0 34 N n93->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.2000 M21 519301 16 1806.2000 n89 n0 29 N n89->n13->n2->n253->n260->n242->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.3000 M54 953264 12 798.3000 n93 n0 46 N n93->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.4000 M6 661032 12 2245.4000 n73 n0 22 N n73->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2415.5000 M30 678625 14 1534.5000 n86 n0 34 N n86->n67->n11->n2->n258->n248->n244->n261->n5->n1->n246->n249->n247->n264->n0
2718.5000 M86 985022 11 157.5000 n113 n0 57 N n113->n16->n3->n252->n243->n250->n266->n263->n258->n248->n244->n0
2718.7000 M81 987978 11 307.7000 n172 n0 54 N n172->n4->n262->n252->n243->n250->n266->n263->n258->n248->n244->n0
2718.8000 M15 991397 20 2287.8000 n88 n0 21 N n88->n11->n2->n253->n260->n240->n260->n253->n251->n253->n240->n259->n251->n267->n250->n266->n263->n258->n248->n244->n0
2719.0000 M49 955987 12 1254.0000 n88 n0 39 N n88->n11->n2->n253->n251->n267->n250->n266->n263->n258->n248->n244->n0
2719.2000 M61 874679 14 893.2000 n96 n0 45 N n96->n61->n2->n242->n240->n259->n251->n267->n250->n266->n263->n258->n248->n244->n0
2866.3000 M90 838494 5 192.3000 n210 n0 56 N n210->n5->n252->n243->n251->n0
2866.5000 M83 623765 5 396.5000 n194 n0 53 N n194->n5->n252->n243->n251->n0
3110.6000 M84 577575 6 612.6000 n150 n0 49 N n150->n4->n246->n257->n251->n239->n0
3219.3000 M88 507417 7 600.3000 n141 n0 49 N n141->n3->n253->n259->n245->n261->n257->n0
3238.3000 M96 866374 8 385.3000 n156 n0 53 N n156->n155->n3->n253->n259->n245->n261->n260->n0
3242.7000 M82 711477 6 799.7000 n131 n0 46 N n131->n3->n253->n259->n245->n238->n0
3242.9000 M91 623996 6 538.9000 n116 n0 51 N n116->n3->n253->n259->n245->n238->n0
3495.5000 M95 895577 5 672.5000 n35 n0 48 N n35->n6->n1->n262->n259->n0
3644.5000 M89 502436 6 995.5000 n180 n0 43 N n180->n4->n261->n256->n242->n253->n0
3644.6000 M99 899694 6 703.6000 n178 n0 48 N n178->n4->n261->n256->n242->n253->n0
3652.1000 M104 863634 11 558.1000 n178 n0 50 N n178->n4->n267->n263->n267->n263->n256->n245->n242->n253->n262->n0
3783.7000 M97 926435 7 903.7000 n133 n0 44 N n133->n120->n16->n3->n252->n266->n267->n0
3783.8000 M110 741039 6 521.8000 n154 n0 51 N n154->n4->n266->n256->n266->n267->n0
3854.4000 M102 846401 11 817.4000 n173 n0 46 N n173->n4->n266->n257->n247->n257->n247->n262->n252->n242->n266->n0
3977.4000 M116 868464 7 542.4000 n175 n0 50 N n175->n3->n238->n249->n238->n244->n256->n0
3979.9000 M113 982169 10 627.9000 n153 n0 49 N n153->n155->n16->n3->n238->n244->n253->n238->n244->n255->n0
3980.6000 M103 798087 6 916.6000 n46 n0 44 N n46->n1->n260->n249->n238->n244->n0
4043.5000 M114 826370 7 664.5000 n178 n0 48 N n178->n4->n239->n250->n263->n241->n238->n0
4043.6000 M112 517153 7 721.6000 n152 n0 47 N n152->n4->n239->n250->n263->n241->n238->n0
4111.1000 M130 536904 9 269.1000 n32 n0 55 N n32->n6->n7->n1->n242->n267->n258->n243->n255->n0
4111.3000 M118 990380 8 624.3000 n40 n0 49 N n40->n7->n1->n242->n267->n258->n243->n255->n0
4254.0000 M106 712689 15 1108.0000 n102 n0 41 N n102->n2->n251->n246->n251->n245->n243->n264->n239->n250->n257->n250->n239->n249->n243->n0
4267.3000 M122 975987 13 666.3000 n162 n0 48 N n162->n176->n4->n254->n245->n261->n239->n250->n257->n250->n239->n251->n243->n0
4267.5000 M127 506002 13 513.5000 n150 n0 51 N n150->n4->n254->n264->n243->n264->n239->n250->n257->n250->n239->n251->n243->n0
4267.7000 M119 786640 12 751.7000 n158 n0 47 N n158->n4->n254->n245->n261->n239->n250->n257->n250->n239->n251->n243->n0
4279.0000 M109 785889 14 1042.0000 n123 n0 42 N n123->n16->n3->n4->n254->n245->n261->n239->n250->n257->n250->n239->n264->n258->n0
4624.7000 M117 553518 11 1163.7000 n50 n0 40 N n50->n7->n1->n248->n263->n258->n252->n239->n250->n257->n254->n0
4640.6000 M101 846482 17 1637.6000 n151 n0 32 N n151->n4->n262->n251->n267->n251->n256->n267->n1->n248->n263->n258->n252->n251->n239->n248->n254->n0
4674.5000 M121 601626 26 1104.5000 n38 n0 41 N n38->n26->n7->n1->n242->n264->n258->n243->n266->n256->n261->n256->n261->n244->n247->n266->n267->n247->n3->n4->n245->n265->n247->n261->n248->n240->n0
4691.5000 M123 614169 19 1064.5000 n23 n0 42 N n23->n6->n7->n1->n251->n262->n251->n267->n251->n256->n267->n266->n267->n247->n3->n266->n247->n257->n240->n0
4730.0000 M149 586647 7 328.0000 n124 n0 54 N n124->n16->n3->n266->n259->n245->n248->n0
4730.1000 M136 783655 8 702.1000 n139 n0 48 N n139->n3->n4->n245->n265->n259->n245->n248->n0
4730.2000 M141 527788 19 556.2000 n26 n0 50 N n26->n6->n1->n266->n267->n247->n266->n267->n241->n248->n267->n259->n267->n249->n241->n243->n259->n245->n248->n0
4730.3000 M146 505487 13 416.3000 n128 n0 53 N n128->n16->n3->n4->n255->n247->n265->n266->n247->n266->n259->n245->n248->n0
4730.4000 M131 742886 12 857.4000 n114 n0 45 N n114->n3->n4->n255->n247->n265->n266->n247->n266->n259->n245->n248->n0
4730.5000 M133 591759 12 796.5000 n185 n0 46 N n185->n170->n4->n255->n247->n265->n266->n247->n266->n259->n245->n248->n0
4730.6000 M144 663690 7 475.6000 n139 n0 52 N n139->n16->n3->n266->n259->n245->n248->n0
4730.8000 M134 856159 8 762.8000 n131 n0 47 N n131->n3->n266->n247->n266->n259->n245->n248->n0
